Catálogo UNICO
Homologación entre los catálogos de SESA y OCRA


ID OCRA	ID SESA	Marca	Descripción 2014	Segmento, Clase	Clasificación
549	203	MITSUBISHI	SPACESTAR	COMPACTO	AUTOMOVILES
550	200	MITSUBISHI	LANCER	COMPACTO	AUTOMOVILES
551	202	MITSUBISHI	OUTLANDER	MULTIUSOS	AUTOMOVILES
553	223	MITSUBISHI	ENDEAVOR	MULTIUSOS	AUTOMOVILES
554	296	MITSUBISHI	GRANDIS	MULTIUSOS	AUTOMOVILES
558	284	SUBARU	B9 TRIBECA	MULTIUSOS	AUTOMOVILES
560	376	SUBARU	IMPREZA	LUJO	AUTOMOVILES
561	283	SUBARU	OUTBACK	MULTIUSOS	AUTOMOVILES
562	302	SUBARU	FORESTER	MULTIUSOS	AUTOMOVILES
564	138	CHRYSLER	ATOS	SUBCOMPACTO	AUTOMOVILES
565	455	CHRYSLER	RAM MAXI WAGON PASAJEROS	MULTIUSOS	AUTOMOVILES
567	21	CHRYSLER	VOLARE, SUPER BEE, STEALTH	COMPACTO	AUTOMOVILES
568	67	CHRYSLER	NEON	COMPACTO	AUTOMOVILES
571	273	CHRYSLER	CALIBER	COMPACTO	AUTOMOVILES
572	272	CHRYSLER	ATTITUDE	SUBCOMPACTO	AUTOMOVILES
573	293	CHRYSLER	NITRO	MULTIUSOS	AUTOMOVILES
575	268	CHRYSLER	CHARGER	DEPORTIVO	AUTOMOVILES
576	285	CHRYSLER	AVENGER	COMPACTO	AUTOMOVILES
578	278	SUZUKI	SWIFT	SUBCOMPACTO	AUTOMOVILES
591	132	GENERAL MOTORS	AZTEK	MULTIUSOS	AUTOMOVILES
594	209	GENERAL MOTORS	MATIZ	SUBCOMPACTO	AUTOMOVILES
595	94	GENERAL MOTORS	SUNFIRE	COMPACTO	AUTOMOVILES
596	281	GENERAL MOTORS	TORRENT	MULTIUSOS	AUTOMOVILES
597	279	GENERAL MOTORS	G3	COMPACTO	AUTOMOVILES
598	227	GENERAL MOTORS	G6	COMPACTO	AUTOMOVILES
599	313	GENERAL MOTORS	G5	COMPACTO	AUTOMOVILES
600	249	GENERAL MOTORS	SOLSTICE	DEPORTIVO	AUTOMOVILES
601	126	VOLVO	S40	LUJO	AUTOMOVILES
602	483	VOLVO	V40	LUJO	AUTOMOVILES
603	341	VOLVO	C70	DEPORTIVO	AUTOMOVILES
604	485	VOLVO	V70	LUJO	AUTOMOVILES
605	481	VOLVO	S70	LUJO	AUTOMOVILES
606	482	VOLVO	S80	LUJO	AUTOMOVILES
607	480	VOLVO	S60	LUJO	AUTOMOVILES
608	486	VOLVO	XC70	LUJO	AUTOMOVILES
609	487	VOLVO	XC90	LUJO	AUTOMOVILES
612	145	SEAT	CORDOBA	COMPACTO	AUTOMOVILES
613	144	SEAT	IBIZA	SUBCOMPACTO	AUTOMOVILES
614	146	SEAT	LEON	DEPORTIVO	AUTOMOVILES
615	147	SEAT	TOLEDO	COMPACTO	AUTOMOVILES
616	172	SEAT	ALHAMBRA	MULTIUSOS	AUTOMOVILES
619	471	MERCURY	GRAND MARQUIS MOD. 2000 AL 2004	LUJO	AUTOMOVILES
620	226	MERCURY	MARINER	MULTIUSOS	AUTOMOVILES
622	164	CADILLAC	STS Y CTS	LUJO	AUTOMOVILES
623	39	CADILLAC	CATERA	LUJO	AUTOMOVILES
